Designator,Mid X,Mid Y,Layer,Rotation
C3,18.54,-8.13,Top,270.0
C8,17.40,-8.13,Top,270.0
C9,14.48,-8.13,Top,270.0
C10,13.46,-8.13,Top,270.0
C11,12.45,-8.13,Top,270.0
C12,11.43,-8.13,Top,270.0
C13,10.41,-8.13,Top,270.0
C14, 9.40,-8.13,Top,270.0
C15, 8.38,-8.13,Top,270.0
C16, 7.37,-8.13,Top,270.0
C20,26.92,-9.02,Top,0.0
C21,29.46,-11.94,Top,270.0
CHARGING, 1.65,11.30,Top,90.0
D4,28.83,-5.59,Top,270.0
D5,27.05,-5.59,Top,90.0
D6,25.27,-5.59,Top,270.0
FLASH, 0.66,-7.75,Top,90.0
IC2,16.38, 2.41,Top,0.0
J1, 3.56, 7.75,Top,270.0
J2,29.72, 2.03,Top,90.0
J4, 6.63, 0.00,Top,270.0
J5,15.24,-12.32,Top,0.0
L1,26.42,-12.19,Top,180.0
Q4,22.61,-7.87,Top,90.0
R4,20.70,-6.48,Top,270.0
R8,20.70,-8.51,Top,270.0
R9,19.69,-8.51,Top,270.0
R10, 1.52,12.32,Top,180.0
R12,19.69,-6.48,Top,270.0
RESET, 0.66, 7.75,Top,90.0
C1,13.51, 4.06,Bottom,180.0
C2,13.46, 5.59,Bottom,180.0
C4,14.25,-1.02,Bottom,180.0
C5,16.46, 4.06,Bottom,0.0
C6,22.05, 8.26,Bottom,180.0
C7,10.54, 8.89,Bottom,90.0
C17,17.86, 1.52,Bottom,180.0
C18,24.18, 2.01,Bottom,90.0
C24,17.91, 8.00,Bottom,90.0
D1, 9.02,-3.15,Bottom,180.0
D3, 9.02,-0.76,Bottom,270.0
D8, 2.79, 1.91,Bottom,0.0
D9, 2.79, 0.00,Bottom,0.0
D10, 2.79,-2.54,Bottom,0.0
IC4,21.31, 2.46,Bottom,0.0
LDO,13.79, 1.55,Bottom,90.0
Q5, 9.91, 2.79,Bottom,180.0
R1,20.19, 4.80,Bottom,0.0
R2,22.05, 7.21,Bottom,0.0
R11, 8.13, 5.71,Bottom,0.0
R14,12.57, 8.51,Bottom,180.0
R15, 2.79, 3.18,Bottom,0.0
R16, 2.79,-1.27,Bottom,0.0
R17,10.31,-1.14,Bottom,90.0
R18,11.35,-1.14,Bottom,270.0
R19,12.57, 9.53,Bottom,180.0
U1, 7.75, 7.75,Bottom,0.0
U2,15.75, 8.13,Bottom,270.0
